epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,147.593,0.88258,0.49874,0.00482,0.94237,0.8961,0.95207,0.78184,0.6906,0.38553,0.00612,0.0015941,0.0015941,0.0015941
43,150.723,0.8096,0.46731,0.00428,0.94357,0.86861,0.95185,0.83058,0.59464,0.34969,0.00445,0.0015842,0.0015842,0.0015842
44,153.844,0.89353,0.50231,0.00471,0.94036,0.93506,0.96188,0.83212,0.60698,0.31908,0.00442,0.0015743,0.0015743,0.0015743
45,157.132,0.921,0.49201,0.00458,0.93712,0.96771,0.9722,0.83168,0.62851,0.38127,0.00486,0.0015644,0.0015644,0.0015644
46,160.298,0.85973,0.52144,0.00458,0.97213,0.90615,0.95978,0.82337,0.59762,0.40397,0.00481,0.0015545,0.0015545,0.0015545
47,163.578,0.89055,0.47836,0.00471,0.88126,0.8961,0.93554,0.79348,0.67307,0.39287,0.00514,0.0015446,0.0015446,0.0015446
48,166.728,0.87699,0.50479,0.00457,0.93124,0.87954,0.94267,0.78092,0.74906,0.38279,0.00602,0.0015347,0.0015347,0.0015347
49,169.814,0.88023,0.49556,0.00461,0.90111,0.88312,0.92348,0.78633,0.64921,0.44031,0.00511,0.0015248,0.0015248,0.0015248
50,173.101,0.82284,0.44706,0.004,0.94418,0.87876,0.92624,0.80955,0.57634,0.45129,0.00431,0.0015149,0.0015149,0.0015149
51,176.278,0.84307,0.46059,0.00401,0.91613,0.90909,0.96003,0.83176,0.60077,0.41185,0.00447,0.001505,0.001505,0.001505
52,179.589,0.80379,0.42323,0.00395,0.93893,0.88312,0.9534,0.83086,0.57955,0.37435,0.00437,0.0014951,0.0014951,0.0014951
53,182.711,0.84363,0.4218,0.00427,0.91429,0.94805,0.96632,0.82999,0.55154,0.32369,0.00388,0.0014852,0.0014852,0.0014852
54,185.983,0.83457,0.44195,0.00414,0.97057,0.85668,0.95552,0.81572,0.5632,0.35215,0.00445,0.0014753,0.0014753,0.0014753
55,189.11,0.80782,0.4554,0.00385,0.90045,0.88312,0.9399,0.818,0.51675,0.44957,0.00434,0.0014654,0.0014654,0.0014654
56,192.211,0.81689,0.46297,0.00396,0.91207,0.8961,0.9458,0.79919,0.65353,0.36255,0.00511,0.0014555,0.0014555,0.0014555
57,195.283,0.80655,0.44273,0.00386,0.86752,0.87013,0.89083,0.78658,0.49575,0.49979,0.00396,0.0014456,0.0014456,0.0014456
58,198.499,0.77817,0.40924,0.00388,0.94643,0.91773,0.94908,0.83535,0.51532,0.36774,0.00403,0.0014357,0.0014357,0.0014357
59,201.613,0.81905,0.44548,0.00385,0.92262,0.92918,0.9606,0.84438,0.55839,0.3303,0.00384,0.0014258,0.0014258,0.0014258
60,204.724,0.86013,0.45079,0.00423,0.93924,0.92208,0.95822,0.8267,0.58805,0.3218,0.00427,0.0014159,0.0014159,0.0014159
61,207.805,0.73443,0.39451,0.00397,0.93607,0.95083,0.96398,0.83927,0.52193,0.28351,0.0038,0.001406,0.001406,0.001406
62,210.897,0.74402,0.36979,0.00382,0.95753,0.93506,0.96028,0.82316,0.58988,0.29857,0.00435,0.0013961,0.0013961,0.0013961
63,213.976,0.80299,0.39067,0.00392,0.92398,0.94716,0.96008,0.84587,0.51094,0.31056,0.0037,0.0013862,0.0013862,0.0013862
64,217.054,0.7702,0.37925,0.00385,0.89947,0.93506,0.9553,0.82634,0.54979,0.36474,0.00416,0.0013763,0.0013763,0.0013763
65,220.273,0.77491,0.40728,0.00422,0.93867,0.92208,0.9648,0.82194,0.59202,0.31574,0.00441,0.0013664,0.0013664,0.0013664
66,223.411,0.76697,0.40502,0.00374,0.91263,0.93506,0.9467,0.81814,0.56414,0.36312,0.00427,0.0013565,0.0013565,0.0013565
67,226.617,0.83174,0.4094,0.00415,0.9555,0.90909,0.95145,0.81921,0.5669,0.32597,0.00434,0.0013466,0.0013466,0.0013466
68,229.953,0.82455,0.41011,0.004,0.9343,0.92342,0.95345,0.83303,0.52925,0.33947,0.00397,0.0013367,0.0013367,0.0013367
69,233.11,0.76037,0.39556,0.00413,0.9474,0.93573,0.96094,0.83086,0.56543,0.35837,0.00426,0.0013268,0.0013268,0.0013268
70,236.4,0.75097,0.35959,0.0039,0.95993,0.93331,0.95917,0.82969,0.55364,0.35135,0.00411,0.0013169,0.0013169,0.0013169
71,239.555,0.73219,0.39967,0.00394,0.98604,0.91734,0.96288,0.83133,0.5354,0.31052,0.00405,0.001307,0.001307,0.001307
72,242.697,0.75007,0.34354,0.004,0.94673,0.97403,0.96972,0.85618,0.52537,0.28299,0.00369,0.0012971,0.0012971,0.0012971
73,245.817,0.80259,0.40101,0.00374,0.95476,0.96104,0.96587,0.85525,0.55827,0.33061,0.00405,0.0012872,0.0012872,0.0012872
74,249.149,0.74869,0.36764,0.0035,0.9196,0.94805,0.95584,0.83187,0.56917,0.30406,0.00439,0.0012773,0.0012773,0.0012773
75,252.321,0.84135,0.40822,0.00382,0.97253,0.91947,0.9565,0.82162,0.62952,0.33884,0.00498,0.0012674,0.0012674,0.0012674
76,255.468,0.75803,0.38431,0.00373,0.92284,0.93205,0.94738,0.81448,0.56777,0.33674,0.0046,0.0012575,0.0012575,0.0012575
77,258.713,0.78749,0.36715,0.00398,0.9609,0.95748,0.96531,0.84053,0.56889,0.30909,0.00426,0.0012476,0.0012476,0.0012476
78,261.861,0.72702,0.35777,0.0036,0.95894,0.90986,0.96079,0.84777,0.57224,0.34315,0.00412,0.0012377,0.0012377,0.0012377
79,264.95,0.71322,0.35504,0.0037,0.8982,0.94805,0.95464,0.82819,0.58355,0.40555,0.00442,0.0012278,0.0012278,0.0012278
80,268.051,0.76419,0.36975,0.00391,0.93507,0.93518,0.9557,0.82793,0.59446,0.33664,0.00458,0.0012179,0.0012179,0.0012179
81,271.27,0.73792,0.39257,0.00369,0.98552,0.88373,0.95647,0.84746,0.54279,0.32773,0.00393,0.001208,0.001208,0.001208
82,274.402,0.78902,0.38138,0.00379,0.93457,0.96104,0.96023,0.83079,0.60391,0.31784,0.00446,0.0011981,0.0011981,0.0011981
83,277.473,0.73323,0.34668,0.00368,0.94381,0.93506,0.95724,0.83765,0.53179,0.32962,0.00402,0.0011882,0.0011882,0.0011882
84,280.765,0.75643,0.37717,0.00368,0.93663,0.95977,0.95818,0.85959,0.51369,0.30511,0.00362,0.0011783,0.0011783,0.0011783
85,283.918,0.68263,0.33324,0.00338,0.98645,0.94564,0.96191,0.86782,0.51724,0.2923,0.00364,0.0011684,0.0011684,0.0011684
86,287.053,0.82245,0.35774,0.0042,0.93585,0.94732,0.95726,0.83784,0.56857,0.30458,0.00425,0.0011585,0.0011585,0.0011585
87,290.327,0.6732,0.30764,0.00343,0.95999,0.93475,0.95883,0.84336,0.52575,0.29484,0.00401,0.0011486,0.0011486,0.0011486
88,293.541,0.7178,0.30582,0.00368,0.97224,0.93506,0.9609,0.85435,0.51518,0.31348,0.00384,0.0011387,0.0011387,0.0011387
89,296.667,0.75003,0.31529,0.0037,0.98282,0.93506,0.96293,0.85909,0.49067,0.27663,0.00363,0.0011288,0.0011288,0.0011288
90,299.925,0.69381,0.32133,0.00326,0.92461,0.95573,0.95745,0.85504,0.46852,0.30413,0.00335,0.0011189,0.0011189,0.0011189
91,303.061,0.68606,0.31917,0.0031,0.95418,0.93506,0.95882,0.82754,0.54413,0.31195,0.00416,0.001109,0.001109,0.001109
92,306.364,0.70359,0.29864,0.00368,0.9358,0.94659,0.95924,0.85208,0.50245,0.30616,0.00359,0.0010991,0.0010991,0.0010991
93,309.521,0.69285,0.30454,0.00314,0.96101,0.96043,0.95929,0.82091,0.58507,0.34023,0.00445,0.0010892,0.0010892,0.0010892
94,312.791,0.70415,0.32558,0.00354,0.94867,0.96019,0.96118,0.84862,0.55982,0.33039,0.00408,0.0010793,0.0010793,0.0010793
95,315.95,0.6978,0.33249,0.00322,0.93623,0.94805,0.96229,0.85477,0.49996,0.32275,0.00366,0.0010694,0.0010694,0.0010694
96,319.076,0.70068,0.30889,0.0034,0.92002,0.93506,0.94853,0.84099,0.53423,0.34429,0.004,0.0010595,0.0010595,0.0010595
97,322.339,0.70722,0.29548,0.00339,0.88033,0.93506,0.95035,0.81714,0.6114,0.43904,0.00486,0.0010496,0.0010496,0.0010496
98,325.48,0.71318,0.32443,0.00355,0.95973,0.92847,0.97272,0.85236,0.56836,0.31161,0.00415,0.0010397,0.0010397,0.0010397
99,328.563,0.66664,0.3096,0.00324,0.98229,0.92208,0.9692,0.85639,0.5483,0.28886,0.00411,0.0010298,0.0010298,0.0010298
100,331.682,0.70464,0.31139,0.00339,0.98604,0.91708,0.96248,0.83493,0.54458,0.35432,0.00416,0.0010199,0.0010199,0.0010199
101,334.844,0.6995,0.3268,0.00361,0.96955,0.94805,0.96961,0.8696,0.49685,0.28107,0.00373,0.00101,0.00101,0.00101
102,338.139,0.68145,0.31696,0.00322,0.94732,0.9342,0.96395,0.84208,0.59952,0.36368,0.00466,0.0010001,0.0010001,0.0010001
103,341.276,0.65243,0.28979,0.00331,0.93509,0.96104,0.96712,0.86351,0.49972,0.32094,0.00369,0.0009902,0.0009902,0.0009902
104,344.388,0.70924,0.30735,0.00332,0.92928,0.90909,0.96061,0.83865,0.54615,0.35659,0.004,0.0009803,0.0009803,0.0009803
105,347.465,0.64598,0.30855,0.00325,0.97258,0.92134,0.96672,0.84638,0.55351,0.379,0.00385,0.0009704,0.0009704,0.0009704
106,350.747,0.68104,0.30518,0.00319,0.94312,0.94805,0.96696,0.86513,0.52788,0.30349,0.00379,0.0009605,0.0009605,0.0009605
107,353.889,0.66429,0.29726,0.0034,0.95927,0.96104,0.97118,0.86522,0.55589,0.29176,0.00398,0.0009506,0.0009506,0.0009506
108,357.002,0.65395,0.3,0.00332,0.93245,0.96104,0.95941,0.8671,0.50644,0.33938,0.00368,0.0009407,0.0009407,0.0009407
109,360.117,0.67026,0.33496,0.00325,0.95813,0.96104,0.96275,0.83127,0.5928,0.2852,0.00441,0.0009308,0.0009308,0.0009308
