epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.281,0.61877,0.44547,0.00328,0.90881,0.98077,0.98015,0.89503,0.43689,0.27083,0.00405,0.0015941,0.0015941,0.0015941
43,146.242,0.63418,0.43014,0.00333,0.931,0.98077,0.99005,0.88145,0.53412,0.23257,0.0046,0.0015842,0.0015842,0.0015842
44,149.25,0.631,0.4436,0.00324,0.94317,0.95746,0.98814,0.85905,0.55739,0.32043,0.00507,0.0015743,0.0015743,0.0015743
45,152.593,0.61112,0.43954,0.00356,0.90126,1,0.97359,0.85827,0.48715,0.32967,0.00444,0.0015644,0.0015644,0.0015644
46,155.824,0.6256,0.43818,0.00344,0.97456,0.92308,0.97961,0.87732,0.4793,0.31108,0.00443,0.0015545,0.0015545,0.0015545
47,159.073,0.56707,0.41138,0.00311,0.9403,1,0.98512,0.89359,0.42572,0.21834,0.00404,0.0015446,0.0015446,0.0015446
48,162.393,0.61633,0.43098,0.00356,0.97527,0.96154,0.98379,0.8913,0.46226,0.23834,0.00429,0.0015347,0.0015347,0.0015347
49,165.86,0.66579,0.42406,0.00345,0.95997,0.92308,0.9607,0.86387,0.45232,0.30322,0.004,0.0015248,0.0015248,0.0015248
50,168.946,0.6099,0.39737,0.00331,0.91886,0.94231,0.95542,0.8342,0.56758,0.38225,0.00569,0.0015149,0.0015149,0.0015149
51,171.876,0.57532,0.42515,0.00335,0.92845,0.99827,0.9739,0.88633,0.41126,0.29246,0.00382,0.001505,0.001505,0.001505
52,174.878,0.6082,0.39534,0.00348,0.89085,0.98077,0.98002,0.85991,0.55531,0.28552,0.00559,0.0014951,0.0014951,0.0014951
53,177.813,0.6484,0.43974,0.00369,0.91521,0.96154,0.98214,0.87348,0.48442,0.31725,0.00463,0.0014852,0.0014852,0.0014852
